"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Full lifecycle test: Project -> Suite -> Update Suite -> Delete Suite -> Delete Project","6560","Create a new suite inside a project, update and delete both","Surefire suite","Wed May 14 19:49:34 GMT 2025","passed","Wed May 14 19:49:40 GMT 2025","tests.SuiteTest","Surefire test","tests.SuiteTest","createNewTestSuite"
"This test covers project creation, validation via GET, and cleanup via DELETE.","1083","Create a new project, verify it, and then delete it","Surefire suite","Wed May 14 19:49:40 GMT 2025","passed","Wed May 14 19:49:41 GMT 2025","tests.ProjectTest","Surefire test","tests.ProjectTest","testCreateProject"
